Track,Artist,Album,Duration,Explicit
A Little Bit Of Soap,De La Soul,3 Feet High And Rising,00:49,FALSE
A.B.C.,Michael Jackson And The Jackson 5,Greatest Hits 1969-1975,03:00,FALSE
A.M. 180,Grandaddy,Under The Western Freeway,03:20,FALSE
Abbots Leigh,Beak>,>>>,06:36,FALSE
Abc,Jackson 5,ABC,02:59,FALSE
Aberdeen,Cage the Elephant,Thank You Happy Birthday,03:12,FALSE
Accentuate the Positive,Johnny Mercer,The Blitz Years - Songs of Hope and Glory,02:47,FALSE
Acceptable In The 80's,Calvin Harris,I Created Disco,05:33,FALSE
Accordion,Madvillain  Madlib & MF DOOM,Madvillainy,01:58,FALSE
Ackrite,Dr. Dre,2001,03:39,TRUE
